,0,1
0,26.503426,773.73846
1,46.50601,806.5374
2,67.50872,893.13885
3,88.51144,772.7146
4,109.014084,857.7956
5,128.5166,827.7556
6,150.01938,757.1101
7,170.02197,873.32184
8,191.02469,878.06055
9,211.02727,838.86365
10,232.53004,877.5548
11,252.53264,792.14703
12,273.53534,827.95984
13,293.53793,838.0821
14,314.54065,881.6295
15,335.54337,853.0529
16,356.04602,848.7739
17,377.04874,895.70245
18,398.05145,880.3158
19,418.55408,802.57764
20,439.5568,813.71606
21,460.05945,809.93555
22,480.5621,764.2629
23,500.5647,817.2135
24,521.0673,854.42444
25,541.57,781.88257
26,562.07263,821.9349
27,582.57526,824.8376
28,603.578,794.14557
29,624.0806,829.13794
30,645.0834,807.4749
31,665.586,804.33655
32,686.0887,879.54913
33,706.5913,819.0689
34,727.09393,793.355
35,747.5966,827.27814
36,768.5993,787.8944
37,789.102,802.5186
38,809.10455,879.3455
39,830.10724,861.36786
40,850.6099,893.60864
41,871.11255,791.17303
42,892.1153,853.64716
43,912.6179,860.905
44,933.1206,851.5501
45,953.6232,821.7073
46,973.6258,799.29596
47,993.6284,871.2412
48,1015.13116,826.0751
49,1035.6338,820.5996
50,1056.1365,819.4483
51,1076.6392,838.0188
52,1097.1417,834.95154
53,1118.1445,913.6107
54,1139.1472,838.1401
55,1159.6499,840.4771
56,1180.1525,888.084
57,1200.155,838.78314
58,1221.6578,877.42206
59,1242.1605,848.09717
60,1263.1632,886.0388
61,1283.6659,820.8072
62,1304.6686,831.4262
63,1325.1713,878.47675
64,1346.174,742.84607
65,1366.1765,896.43964
66,1387.1792,898.2695
67,1407.6819,896.1336
68,1428.6846,837.38025
69,1449.1873,818.2763
70,1469.69,889.32806
71,1490.6926,841.35333
72,1511.6953,776.37067
73,1531.1979,765.9045
74,1552.2006,758.871
75,1572.7032,881.9396
76,1593.7059,798.76117
77,1614.2086,847.1706
78,1634.7112,876.44257
79,1655.714,851.24786
80,1676.2166,823.2242
81,1697.2194,867.61346
82,1717.7219,780.7147
83,1738.2246,832.626
84,1759.2273,852.1608
85,1779.73,815.5181
86,1800.2327,844.59735
87,1820.7352,831.3411
88,1841.2379,792.11646
89,1862.2406,885.7152
90,1883.2434,839.4408
91,1903.746,739.6196
92,1923.7485,749.32385
93,1943.7512,819.4153
94,1964.7539,756.11597
95,1984.7565,908.12866
96,2005.7592,880.5539
97,2026.762,866.01447
98,2047.2645,848.4154
99,2067.767,840.7628
100,2088.2698,857.63293
101,2109.2725,836.48413
102,2129.7751,847.6687
103,2150.2778,847.5372
104,2170.7805,770.4839
105,2190.7832,843.1178
106,2211.2856,861.51276
107,2231.7883,778.7098
108,2252.791,839.9892
109,2273.2937,792.43335
110,2294.2964,803.019
111,2314.799,824.26166
112,2335.3018,841.35913
113,2355.8044,852.2091
114,2376.3071,780.12646
115,2397.3098,797.0204
116,2417.3123,809.142
117,2437.815,789.20764
118,2458.3176,844.09424
119,2478.8203,843.23566
120,2499.823,817.2127
121,2520.3257,917.91046
122,2541.3284,814.2295
123,2561.831,814.591
124,2581.8337,774.296
125,2602.8364,827.9409
126,2623.839,846.29364
127,2644.8418,765.24744
128,2664.8442,850.0665
129,2685.8472,851.6122
130,2706.8499,847.1001
131,2727.3525,823.7475
132,2748.3552,810.3209
133,2768.858,829.43677
134,2789.3604,852.7007
135,2809.863,796.646
136,2829.8657,838.3708
137,2850.8684,845.74805
138,2871.371,793.03467
139,2891.8738,825.7184
140,2912.3765,812.0638
141,2932.379,811.717
142,2953.3816,859.8184
143,2973.8843,835.5027
144,2994.387,815.8348
145,3014.8896,834.12524
146,3035.8923,866.8529
147,3056.395,820.63434
148,3077.3977,848.5214
149,3098.4004,794.4695
150,3118.903,813.8404
151,3139.4058,874.1397
152,3159.9084,835.31714
153,3180.9111,775.7205
154,3200.9136,827.54974
155,3221.4163,807.2274
156,3242.419,828.3234
157,3262.9216,800.3289
158,3283.9243,850.4525
159,3304.427,814.9419
160,3324.9297,855.455
161,3345.4324,791.39
162,3365.935,796.6718
163,3386.9377,830.1223
164,3407.4404,841.0998
165,3427.9429,787.8607
166,3448.9458,796.70355
167,3469.4482,827.3876
168,3489.951,761.67456
169,3510.4536,811.39575
170,3531.4563,826.637
171,3551.459,829.90106
172,3572.4617,856.0372
173,3593.4644,856.7713
174,3613.967,790.0776
175,3634.4697,787.0832
176,3655.9724,797.2151
177,3675.975,810.5369
178,3696.9778,833.18134
179,3716.9802,798.6583
180,3737.483,865.71265
181,3758.4856,850.3515
182,3779.4883,843.80756
183,3799.991,801.26917
184,3820.4937,786.4067
185,3841.4963,781.48047
186,3862.499,787.7784
187,3883.0017,847.09753
